,YEAR,MONTH,COUNTRY,SITUATION,FORECAST,REGION
0,1996,AUG,MAURITANIA,"During the first decade of August, ()more() small swarms and groups appeared and laid in southern Mauritania where control operations commenced. Infestations were dispersed over a wide area. For example, there were four reports of small mature swarms north-west of Aioun El Atrouss (ca. 16431650N/0933-0949W) and three were treated. In eastern Trarza, a loose maturing swarm, covering an estimated area of 1230 ha, could not be treated east of Boutilimit at 1732N/1414W due to strong winds. Another one was treated after it was seen laying nearby at 1713N/1422W on the 8th. In southern Tagant, there were two reports of swarms near Moudjeria (1752N/1219W). A total of 585 ha were treated during the period. Some swarms my have already laid whereas others were drifting west through northern Brakna and reaching south-western Trarza. Consequently, bands of first to third instar hoppers began to be reported and treated near Aioun, hatching began east of Boutilimit in the same area and laying swarms and egg fields were found in the R’Kiz area (1654N/1518W) during the second decade. About 240 ha were treated during the period. During the third decade, mst infestations appeared to have shifted from south-eastern areas to the southwest. There was a total of six reports of small mature swarms, all in Trarza, but mst infestations consisted of small patches of young instar hoppers and hatchlings. Consecutive reports of swarms along the road south of Nouakchott throughout the decade suggested further mvement northwards. By the end of August, several swarms reached a few tens of kilometres south of Nouakchott, up to 1752N/1556W, and laid. Limited control operations continued against hoppers in eastern Trarza, whereas they were coming to an end near Aioun. A few isolated adults were seen at times during surveys undertaken between Aioun and the Tamchakett area (1715N/1040W), north of Timbedra (1615N/0810W) and in Hodh El Chargui up to Oualata (1718N/0702W). By the end of the  month, travellers reported hoppers north-west of Letvatar (1745N/1231W) in Tagant.","Breeding will continue during the forecast period in southern regions. In the south-east, any remaining hopper infestations are expected to fledge frommidSeptember onwards in the two Hodhs and my form small groups or swarmlets. These are likely to mve west towards Trarza. In the south-west, hatching will continue to occur from early September onwards in Trarza with fledging starting in early October. Numbers are likely to increase further in coastal and interior areas of Trarza and perhaps Inchiri due to further breeding and possible arrivals from the east. Elsewhere, small scale breeding my be in progress and continue in parts of Brakna and Tagant.",WEST AFRICA
1,1996,AUG,SENEGAL,,"Adult groups, possibly a few small swarms, are likely to appear from the north in the western part of the Senegal River Valley and lay upon arrival in areas of recent rains.",WEST AFRICA
2,1996,AUG,MALI,"On 26-28 July, two small mature swarms were treated near Gao covering 110 ha. Small patches and bands of first to second instars were reported in the same area on 18-22 August, indicating that undetected laying probably occurred in late July. A total area of about 12 ha was infested, at densities of 10-1,000 per sq mtre. Due to the presence of cattle, only 1 ha could be treated. Elsewhere during the first half of August, low numbers of mature transiens adults were reported along 60 km between Doro (1609N/ 0049W) and Gossi (1549N/0109W). Densities were up to 1,000 per ha; some adults were seen copulating. Scattered solitarious adults were also present at a few places between Gossi and Gourma Rharous (1652N/ 0156W).","Breeding will continue in the Gourma area between Gao and Tombouctou where current hopper infestations are expected to start fledging from late September onwards and my form groups and small swarms. Breeding is likely to be in progress in some parts of the Adrar des Iforas with hoppers appearing during September. By the end of the forecast period, adults and perhaps a few small swarms from both areas could start to movefurther west.",WEST AFRICA
3,1996,AUG,NIGER,"During surveys undertaken on 17-26 July in the western side of the Air Mountains and Tamesna, mostly mature scattered adults were found at 22 locations, minly near In Abangharit (1653N/0603E), out of 51 visited. Densities were up to 1,000 adults per ha, but in mst cases less than a few tens per ha. Copulating adults were present north of In-Abangharit at 1727N/0620E on the 20th and 1822N/0644E on the 23rd. During another survey undertaken from 28 July to 3 August, scattered adults were seen primarily east of In Abangharit at a density of 30 per ha and near Iferouane (1904N/0823E) at densities of 10-200 per ha. Infestations declined during the second half of the month, but solitarious first and second instar hoppers, at a density of 2,000 per ha over 200 ha, were found at Tagart (1818N/0556E). Surveys were also undertaken in the cropping areas further south from 25 July to 4 August. Isolated and scattered immature and mature adults were observed at 13 locations north and west of Diffa (1319N/1236E), 2 locations north of Filingue (1420N/0319E) and 2 locations north of Tillabery (1413N/0126E).","Small scale breeding is expected to continue in a few areas of central Tamesna. As a result, low numbers of hoppers are likely to appear during September and start fledging by the end of the forecast period. Unless further rainfall occurs, infestations are expected to remain small and limited.",WEST AFRICA
4,1996,AUG,CHAD,,"The situation remains unclear due to a lack of information. Low numbers of adults my be present in parts of Tibesti, southern Ennedi and Biltine. Small scale breeding my be in progress in a few areas where rains my have recently fallen. As a result, hoppers and new adults could appear during the period.",WEST AFRICA
5,1996,AUG,BURKINA FASO,No locusts were reported up to 10 August.,No significant developments are likely.,WEST AFRICA
6,1996,AUG,CAPE VERDE,,No significant developments are likely.,WEST AFRICA
7,1996,AUG,GAMBIA,,No significant developments are likely.,WEST AFRICA
8,1996,AUG,GUINEA BISSAU,,No significant developments are likely.,WEST AFRICA
9,1996,AUG,GUINEA CONAKRY,,No significant developments are likely.,WEST AFRICA
10,1996,AUG,ALGERIA,"Previous infestations in central and southern Sahara continued to decline. During the second half of July, control operations treated new adults, mst of them concentrated west of Tamanrasset (2250N/ 0528E). Two small infestations were treated in northern Tassili N’Ajjer at 2632N/0724-0741E and north of Amguid (2638N/0535E). Low densities of adults persisted at several locations near Adrar (2751N/0019W). The size of the infested areas declined further, being usually less than 50 ha although there were a few up to 200 ha. One infestation, consisting of fourth and fifth instar hoppers mixed with pink adults, covered 1350 ha. Highest densities were up to 30 adults per sq m, but in mst cases they were equivalent to less than one per sq m A total of 1,126 ha were treated during the period. During the first half of August, control operations were limited to the Tamanrasset area, treating 580 ha of fourth and fifth instar hoppers mxed with pink adults, at densities up to 15,000 per ha. Isolated adults, at densities less than 10 per ha, were reported from Adrar, Illizi (2630N/0830E) and Djanet (2434N/ 0930E) areas. No locust activity was reported in all these areas during the second half of the  month.","Although low numbers of adults my still be present in Central Sahara and near Tamanrasset, these will continue to decrease as conditions dry out. Small scale breeding my be in progress in the extreme south near the borders of Mali and Niger in areas of earlier rains. As a result, hoppers my be present and could start fledging from late September onwards. Some of these my concentrate and form a few small groups or swarms by the end of the forecast period.",NORTH-WEST AFRICA
11,1996,AUG,MOROCCO,No locust activity was reported during August.,There is a low possibility of low to moderate numbers of adults appearing in the extreme southwest by the end of the forecast period.,NORTH-WEST AFRICA
12,1996,AUG,LIBYA,,No significant developments are likely.,NORTH-WEST AFRICA
13,1996,AUG,TUNISIA,,No significant developments are likely.,NORTH-WEST AFRICA
14,1996,AUG,SUDAN,,Low numbers of locusts are almost certainly present and will persist in parts of the summer breeding areas extending from Northern Darfur to the Nile but should start to decline by the end of the forecast period as they start to moveeast towards the Red Sea coastal plains. Similar infestations are expected to persist in the Eastern Region west of the Red Sea Hills where numbers my increase as a result of breeding and early mgration from western and central Sudan. There is a low risk of adults appearing on the coastal plains south of Port Sudan and in the Wadi Oko/Diib area at the end of the forecast period.,EASTERN AFRICA
15,1996,AUG,SOMALIA,No locusts were reported during an aerial survey on 29-31 July.,"Small scale breeding my be in progress in the north-west with hoppers and new adults my appear during the forecast period. Elsewhere, scattered adults my be present and are likely to persist along some parts of the coastal plains as far east as Las Koreh.",EASTERN AFRICA
16,1996,AUG,ERITREA,,There is still a low possibility that scattered hoppers and new adults my appear early in the forecast period as a result of small scale breeding in parts of the western lowlands. Low numbers of adults my appear on the Red Sea coastal plains from the east late in the forecast period.,EASTERN AFRICA
17,1996,AUG,ETHIOPIA,"No locusts were seen during ground surveys undertaken near Dire Dawa from 23 July to 6 August, and during aerial surveys between Dire Dawa, Jigjiga and the Somali border on 30 July - 01 August.","Scattered adults, mxed with Locusta, my be present and breeding near Dire Dawa and in the Eastern Region near the Somali border. Consequently, low numbers of hoppers could appear during the forecast period.",EASTERN AFRICA
18,1996,AUG,DJIBOUTI,,No significant developments are likely.,EASTERN AFRICA
19,1996,AUG,KENYA,,No significant developments are likely.,EASTERN AFRICA
20,1996,AUG,TANZANIA,,No significant developments are likely.,EASTERN AFRICA
21,1996,AUG,UGANDA,,No significant developments are likely.,EASTERN AFRICA
22,1996,AUG,SAUDI ARABIA,No locust activity was reported during August.,Low to moderate numbers of hoppers and adults may be present along the western edge of the Empty Quarter from Wadi Najran to Wadi Dawasir as a result of earlier undetected breeding. Scattered adults my be present on the southern Red Sea coastal plains near Jizan and breeding in areas of recent rainfall. Additional adults are expected to appear on the coastal plains of the Red Sea between Jeddah and Jizan from the interior by the end of the forecast period.,NEAR EAST
23,1996,AUG,YEMEN,"Moderate densities of hoppers and adults were reported along the coastal plains of Aden at several places between Wadi Abrain (1302N/4428E) and Zubbad (1415N/4553E) on 22 July - 17 August. These consisted of third to fifth instar solitarious and gregarious hoppers, at densities up to 7 per sq m, mixed with scattered solitarious adults. Infestations varied in size from a few hectares to one sq km. A total of 3,600 ha were treated. Further north in the interior, low numbers of solitarious fourth to fifth instar hoppers mxed with adults were reported from Wadi Jawf (1605N/4447E) and Wadi Khabb (1640N/4519E) on 4-16 August. About 800 ha were treated in the Wadi Jawf area. Solitary mature and copulating adults were reported at several locations during a survey undertaken on 23-26 August in southern Sabatayn between Ataq (1432N/4733E) and Bayhan (1448N/ 4543E). Groups of first and second instar hoppers were reported at Wadi Zalimayn (1450N/4619E) and Wadi Markhah (1453N/4633E) over 200 ha on the 26th. Control operations started.","Small groups and perhaps a few swarms are expected to form during the forecast period in the interior between Khabb and Wadi Hadhramaut as well as on the coastal plains west and east of Aden. As vegetation dries out, these are expected to movewest to the Red Sea coastal plains where they could arrive by the end of the forecast period. If rains have occurred on the coastal plains, they could lay soon after arrival.",NEAR EAST
24,1996,AUG, UAE,No locusts activity was reported during July.,No significant developments are likely.,NEAR EAST
25,1996,AUG,KUWAIT,No locusts were reported during July and August.,No significant developments are likely.,NEAR EAST
26,1996,AUG,EGYPT,,Low numbers of adults my persist in a few southern oases and in cropping areas in the Nile River Valley south of Aswan .,NEAR EAST
27,1996,AUG,BAHRAIN,,No significant developments are likely.,NEAR EAST
28,1996,AUG,IRAQ,,No significant developments are likely.,NEAR EAST
29,1996,AUG,ISRAEL,,No significant developments are likely.,NEAR EAST
30,1996,AUG,JORDAN,,No significant developments are likely.,NEAR EAST
31,1996,AUG,OMAN,,No significant developments are likely.,NEAR EAST
32,1996,AUG,QATAR,,No significant developments are likely.,NEAR EAST
33,1996,AUG,SYRIA,,No significant developments are likely.,NEAR EAST
34,1996,AUG,TURKEY,,No significant developments are likely.,NEAR EAST
35,1996,AUG,PAKISTAN,"During the second half of July, a total of 15 adult groups of about 50 ha each were reported from the interior of Baluchistan in the Kharan district primarily at Naro (2826N/6531E) and to a lesser extent at Borko (2817N/6542E) on the 16th-23rd. One similar group was reported further south in the Khuzdar district at Mamai (2550N/6515E) on the 19th. All these were treated by ground. Scattered adults, at densities ranging from 75 to 2,100 per sq km., were reported from a total of 50 locations in the summer breeding areas along the Indian border extending from Tharparkar to Cholistan. During the first half of August, low density adults persisted in 44 locations along the Indian border and 4 locations of the Uthal district west of Karachi. During the second half of the  month, the number of infested locations and densities at each location increased along the Indian border. Scattered adults, at densities up to 4,500 per sq km. were reported from 83 locations from Tharparkar to Cholistan and further west from 4 locations in Lasbela. Isolated late instar solitarious hoppers were also reported at Birthwar (2627N/7009E) and Ismail Dhar (2750N/7109E) on the 21st-22nd.","Breeding will continue in the summer areas from Tharparkar to Cholistan. As a result, locust numbers will increase in mst areas. By the end of the forecast period, densities could increase further as vegetation begins to dry out. Consequently, a few small groups of adults my form.",SOUTH-WEST ASIA
36,1996,AUG,INDIA,"During the second half of July, scattered adults persisted in Rajasthan, where 35 locations were found infested. Most locations were in Jaisalmer district, and, to a lesser extent, in Bikaner, Churu, Barmer, Jodhpur and Banaskantha. Densities ranged from 30 to 2250 adults per sq km. During the first half of August, the number of infested locations and densities at each location increased. Scattered adults, at densities up to 6,000 per sq km were present at 73 locations. Most of these were in Jaisalmer and Bikaner districts, and, to a lesser extent, in Barmer and Jodhpur districts.","Breeding is almost certainly in progress in western Rajasthan where locust numbers are expected to increase primarily in Jaisalmer, Bikaner and Barmer districts and to a lesser extent in other neighbouring districts. By the end of the forecast period, densities could start to increase as vegetation begins to dry out. Consequently, a few small groups of adults my form.",SOUTH-WEST ASIA
37,1996,AUG,AFGHANISTAN,,No significant developments are likely.,SOUTH-WEST ASIA
38,1996,AUG,IRAN,,No significant developments are likely.,SOUTH-WEST ASIA
