,country,unmatched_forecast,forecast_freq,unmatched_sit,sit_freq
0,MAURITANIA,Inchiri,53.0,Akjoujt (1945N/1421W),84.0
1,MAURITANIA,Adrar,40.0,Zouerate (2244N/1221W),80.0
2,MAURITANIA,Trarza,34.0,Atar (2032N/1308W),73.0
3,MAURITANIA,Tiris-Zemmour,33.0,Bir Moghrein (2510N/1135W),58.0
4,MAURITANIA,north,26.0,Oujeft (2003N/1301W),53.0
5,MAURITANIA,Tagant,23.0,Nema (1636N/0715W),53.0
6,MAURITANIA,Hodhs,22.0,Tidjikja (1833N/1126W),51.0
7,MAURITANIA,Tiris Zemmour,20.0,Nouakchott,47.0
8,MAURITANIA,Brakna,18.0,Aioun El Atrous (1639N/0936W),46.0
9,MAURITANIA,northwest,15.0,Adrar,45.0
10,MAURITANIA,southwest,14.0,north,45.0
11,MAURITANIA,southeast,13.0,Akjoujt,41.0
12,MAURITANIA,Zouerate,13.0,Trarza,41.0
13,MAURITANIA,southwest Adrar,10.0,Aguilal Faye (1827N/1444W),39.0
14,MAURITANIA,Akjoujt,9.0,Brakna,38.0
15,MAURITANIA,south,9.0,Zouerate,36.0
16,MAURITANIA,Mali,9.0,Tagant,35.0
17,MAURITANIA,Assaba,9.0,Inchiri,34.0
18,MAURITANIA,Dakhlet Nouadhibou,8.0,Nouakchott (1809N/1558W),30.0
19,MAURITANIA,El Hank,8.0,Moudjeria (1752N/1219W),30.0
20,MAURITANIA,Algeria,7.0,Atar,28.0
21,MAURITANIA,Bir Moghrein,7.0,Kiffa (1638N/1124W),27.0
22,MAURITANIA,Morocco,7.0,south,26.0
23,MAURITANIA,Atar,5.0,Oualata (1717N/0701W),26.0
24,MAURITANIA,Nema,4.0,northwest,25.0
25,MAURITANIA,movesouth,4.0,Tidjikja,25.0
26,MAURITANIA,Tidjikja,4.0,southwest,24.0
27,MAURITANIA,west,4.0,Boutilimit (1732N/1441W),24.0
28,MAURITANIA,Aioun El Atrous,3.0,Chinguetti (2027N/1221W),23.0
29,MAURITANIA,Oujeft,3.0,Tiris Zemmour,23.0
30,MAURITANIA,md,3.0,Nema,22.0
31,MAURITANIA,Senegal River Valley,3.0,Moudjeria,21.0
32,MAURITANIA,Sahel,3.0,md,21.0
33,MAURITANIA,northwest as,2.0,Assaba,19.0
34,MAURITANIA,Hodh Ech Chargui,2.0,Dakhlet Nouadhibou,19.0
35,MAURITANIA,Tidjikja as,2.0,Ouadane (2056N/1137W),19.0
36,MAURITANIA,northeast,2.0,Tamchekket (1714N/1040W),19.0
37,MAURITANIA,south-,2.0,Magta Lahjar (1730N/1305W),18.0
38,MAURITANIA,mst,2.0,west,18.0
39,MAURITANIA,Hodh El Gharbi,2.0,Malian border,17.0
40,MAURITANIA,R’Kiz,2.0,southeast,17.0
41,MAURITANIA,Hohds,2.0,Rkiz (1658N/1514W),17.0
42,MAURITANIA,Atlas Mountains,2.0,Hodhs,17.0
43,MAURITANIA,Tagant between Aguilal Faye and Tidjikja,2.0,Tidjikja (1829N/1131W),15.0
44,MAURITANIA,Aguilal Faye,2.0,Bennichab (1932N/1512W),15.0
45,MAURITANIA,Western Sahara,2.0,Moudjeria (1751N/1228W),15.0
46,MAURITANIA,Adrar as,2.0,ﬁ,14.0
47,MAURITANIA,Nouakchott,2.0,Timbedra (1614N/0809W),14.0
48,MAURITANIA,Mauritania,2.0,Aioun,14.0
49,MAURITANIA,east,2.0,N’Beika (1758N/1215W),14.0
50,MAURITANIA,Mediterranean,2.0,Mauritania,13.0
51,MAURITANIA,Locust,2.0,Hodh El Gharbi,13.0
52,MAURITANIA,bymid,1.0,Moroccan border,13.0
53,MAURITANIA,Moroccan border as,1.0,Locust,12.0
54,MAURITANIA,moveto,1.0,Hodh Ech Chargui,12.0
55,MAURITANIA,egg development,1.0,Oujeft,12.0
56,MAURITANIA,south as,1.0,Nema (1632N/0712W),11.0
57,MAURITANIA,of Inchiri near Akjoujt,1.0,Aioun El Atrous (1702N/0941W),11.0
58,MAURITANIA,rst,1.0,Tiris-Zemmour,11.0
59,MAURITANIA,Tichit,1.0,Bir Moghrein,11.0
60,MAURITANIA,Hodh Chargui,1.0,Akjoujt (1944N/1420W),11.0
61,MAURITANIA,Aftout Fai,1.0,south-,11.0
62,MAURITANIA,Aouker Aioun,1.0,Boutilimit,10.0
63,MAURITANIA,Agane,1.0,Aioun El Atrous,10.0
64,MAURITANIA,Tiris-Zemmour as,1.0,Tijirat (1929N/1557W),10.0
65,MAURITANIA,Tijirit,1.0,Nouadhibou,10.0
66,MAURITANIA,Aïoun as,1.0,Senegal River Valley,10.0
67,MAURITANIA,Malian border,1.0,Mali,9.0
68,MAURITANIA,Tamkarkart as,1.0,Kiffa,9.0
69,MAURITANIA,Moudjeria as,1.0,Ghallaman (2410N/0952W),9.0
70,MAURITANIA,south-east,1.0,m2,9.0
71,MAURITANIA,Breeding,1.0,Rkiz,8.0
72,MAURITANIA,Aftout Faye,1.0,east,8.0
73,MAURITANIA,Tiris Zemmour between Akjoujt and Oued El Ma,1.0,Egg,8.0
74,MAURITANIA,locust,1.0,Tasiast (2034N/1531W),8.0
75,MAURITANIA,Northwest Africa,1.0,southwest Adrar,8.0
76,MAURITANIA,aboutmid,1.0,Aguilal Faye,8.0
77,MAURITANIA,Aouker as,1.0,Tmeimichat (2119N/1420W),7.0
78,MAURITANIA,Zgueimir,1.0,Western Sahara border,7.0
79,MAURITANIA,Hodh El Chargui,1.0,Gorgol,7.0
80,MAURITANIA,f rst,1.0,Boutilimit (1740N/1446E),7.0
81,MAURITANIA,Tichitt,1.0,Kiffa (1638N/1128W),7.0
82,MAURITANIA,Sahara,1.0,El Hank,7.0
83,MAURITANIA,inmid,1.0,mst,6.0
84,MAURITANIA,El Khatt,1.0,north near Bir Moghrein (2510N/1135W),6.0
85,MAURITANIA,Taziazet,1.0,Nouadhibou (2056N/1702W),6.0
86,MAURITANIA,Tiris Zemmour as,1.0,bush,6.0
87,MAURITANIA,locust maturation,1.0,Ouadane,6.0
88,MAURITANIA,Brakna as,1.0,rst,6.0
89,MAURITANIA,northeast Tiris-Zemmour,1.0,Kaedi (1612N/1332W),6.0
90,,,,ﬁ rst,6.0
91,,,,1421W,6.0
92,,,,0712W,6.0
93,,,,sq m,5.0
94,,,,Kediet Imert,5.0
95,,,,sq,5.0
96,,,,north-east,5.0
97,,,,Atar (2031N/1303W),4.0
98,,,,Tiris-Zemmour near Zouerate (2244N/1221W),4.0
99,,,,Adrar between Akjoujt (1945N/1421W) and Atar (2032N/1308W),4.0
100,,,,inmid,4.0
101,,,,sq mwere,4.0
102,,,,Aftout Fai (1834N/1424W),4.0
103,,,,Hodh El Gharbi near Aioun El Atrous (1639N/0936W),4.0
104,,,,Tiris-Zemmour near Bir Moghrein (2510N/1135W),4.0
105,,,,1308W,4.0
106,,,,Hodh Gharbi,4.0
107,,,,instar hoppers,4.0
108,,,,Benichab,4.0
109,,,,Aioun El Atrouss,4.0
110,,,,Aioun El Atrous (1640N/0937W),4.0
111,,,,Inchiri near Tasiast (2034N/1531W),4.0
112,,,,Aleg (1702N/1358W),4.0
113,,,,Aleg (1703N/1355W),4.0
114,,,,Senegal River,4.0
115,,,,Aouker,4.0
116,,,,south-west,4.0
117,,,,R’Kiz,4.0
118,,,,Guelb,4.0
119,,,,Hodh El Chargui,4.0
120,,,,Guidimaka,4.0
121,,,,Nouadhibou (2054N/1701W),4.0
122,,,,north near Zouerate (2244N/1221W),4.0
123,,,,south-east,4.0
124,,,,Banc d’Arguin,4.0
